__time,/dwm1001/id_458E/pose_kf/header/seq,/dwm1001/id_458E/pose_kf/header/stamp,/dwm1001/id_458E/pose_kf/pose/orientation/pitch_deg,/dwm1001/id_458E/pose_kf/pose/orientation/roll_deg,/dwm1001/id_458E/pose_kf/pose/orientation/w,/dwm1001/id_458E/pose_kf/pose/orientation/x,/dwm1001/id_458E/pose_kf/pose/orientation/y,/dwm1001/id_458E/pose_kf/pose/orientation/yaw_deg,/dwm1001/id_458E/pose_kf/pose/orientation/z,/dwm1001/id_458E/pose_kf/pose/position/x,/dwm1001/id_458E/pose_kf/pose/position/y,/dwm1001/id_458E/pose_kf/pose/position/z
1649933281.712875,633.000000,1649933281.712746,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.398648,2.352958,-0.612670
1649933281.813078,634.000000,1649933281.812804,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.399326,2.352625,-0.616362
1649933281.913089,635.000000,1649933281.912902,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.399934,2.352312,-0.620677
1649933282.013303,636.000000,1649933282.013092,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.399385,2.354199,-0.619939
1649933282.113477,637.000000,1649933282.113299,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.399928,2.354889,-0.623224
1649933282.213332,638.000000,1649933282.213137,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.399322,2.354446,-0.621497
1649933282.313202,639.000000,1649933282.313039,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.398723,2.354024,-0.621416
1649933282.413200,640.000000,1649933282.413058,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.397044,2.353622,-0.624528
1649933282.513312,641.000000,1649933282.513161,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.395441,2.355422,-0.616991
1649933282.613358,642.000000,1649933282.613219,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.393916,2.358207,-0.609734
1649933282.713243,643.000000,1649933282.713085,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.393559,2.359736,-0.605176
