__time,/dwm1001/id_458E/pose_kf/header/seq,/dwm1001/id_458E/pose_kf/header/stamp,/dwm1001/id_458E/pose_kf/pose/orientation/pitch_deg,/dwm1001/id_458E/pose_kf/pose/orientation/roll_deg,/dwm1001/id_458E/pose_kf/pose/orientation/w,/dwm1001/id_458E/pose_kf/pose/orientation/x,/dwm1001/id_458E/pose_kf/pose/orientation/y,/dwm1001/id_458E/pose_kf/pose/orientation/yaw_deg,/dwm1001/id_458E/pose_kf/pose/orientation/z,/dwm1001/id_458E/pose_kf/pose/position/x,/dwm1001/id_458E/pose_kf/pose/position/y,/dwm1001/id_458E/pose_kf/pose/position/z
1649934063.315087,5432.000000,1649934063.314944,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.938481,12.362050,-0.663116
1649934063.415021,5433.000000,1649934063.414875,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.938828,12.361408,-0.661584
1649934063.515037,5434.000000,1649934063.514901,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.938054,12.361917,-0.661750
1649934063.615126,5435.000000,1649934063.614985,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.936223,12.363512,-0.664350
1649934063.715338,5436.000000,1649934063.715190,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.934490,12.365037,-0.668474
1649934063.815633,5437.000000,1649934063.815348,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.932854,12.366490,-0.671634
1649934063.914994,5438.000000,1649934063.914853,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.932407,12.367869,-0.675475
1649934064.015213,5439.000000,1649934064.014989,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.931993,12.368084,-0.675932
1649934064.115446,5440.000000,1649934064.115260,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.931612,12.369378,-0.678785
1649934064.215246,5441.000000,1649934064.215104,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.931262,12.370597,-0.681514
1649934064.314939,5442.000000,1649934064.314804,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.930942,12.371743,-0.685732
1649934064.414993,5443.000000,1649934064.414853,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.929561,12.372816,-0.690566
1649934064.515010,5444.000000,1649934064.514872,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.928270,12.374907,-0.695985
1649934064.615877,5445.000000,1649934064.615679,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.928159,12.376866,-0.701150
1649934064.715185,5446.000000,1649934064.714970,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.929161,12.378693,-0.706870
1649934064.815043,5447.000000,1649934064.814864,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.930123,12.380392,-0.713116
1649934064.915007,5448.000000,1649934064.914859,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.931041,12.384148,-0.721470
1649934065.015379,5449.000000,1649934065.015200,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.930826,12.386566,-0.726997
1649934065.115504,5450.000000,1649934065.115326,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.930629,12.388805,-0.732224
1649934065.214958,5451.000000,1649934065.214823,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.930449,12.390870,-0.734738
1649934065.315046,5452.000000,1649934065.314915,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.931377,12.391677,-0.737874
1649934065.415400,5453.000000,1649934065.415022,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.932257,12.393476,-0.739992
1649934065.514950,5454.000000,1649934065.514814,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.932000,12.394030,-0.738713
1649934065.615145,5455.000000,1649934065.614972,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.932849,12.394498,-0.734180
1649934065.715489,5456.000000,1649934065.715354,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.933650,12.392705,-0.728955
1649934065.815162,5457.000000,1649934065.814955,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.935495,12.392056,-0.726303
1649934065.914921,5458.000000,1649934065.914801,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.937229,12.391402,-0.726127
1649934066.015014,5459.000000,1649934066.014877,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.937764,12.390747,-0.725911
1649934066.115001,5460.000000,1649934066.114884,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.938255,12.392277,-0.728884
1649934066.215465,5461.000000,1649934066.215227,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.939794,12.392598,-0.732495
1649934066.314927,5462.000000,1649934066.314764,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.939048,12.392867,-0.731070
1649934066.415137,5463.000000,1649934066.414979,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.939418,12.391999,-0.726428
1649934066.516492,5464.000000,1649934066.516258,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.938660,12.391150,-0.723549
1649934066.615101,5465.000000,1649934066.614916,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.937930,12.391414,-0.723979
1649934066.714973,5466.000000,1649934066.714838,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.937230,12.392731,-0.725168
1649934066.815161,5467.000000,1649934066.814984,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.935471,12.393950,-0.727084
1649934066.915134,5468.000000,1649934066.914975,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.933806,12.395074,-0.730503
1649934067.015584,5469.000000,1649934067.015354,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.932235,12.396106,-0.736971
1649934067.114942,5470.000000,1649934067.114835,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.930759,12.395960,-0.742325
1649934067.214976,5471.000000,1649934067.214855,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.929376,12.396883,-0.749828
1649934067.315248,5472.000000,1649934067.315091,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.929176,12.396634,-0.754544
1649934067.414997,5473.000000,1649934067.414839,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.929002,12.396371,-0.759001
1649934067.514976,5474.000000,1649934067.514808,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.928854,12.396096,-0.764816
1649934067.614988,5475.000000,1649934067.614828,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.928729,12.396903,-0.770315
1649934067.714959,5476.000000,1649934067.714816,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.927535,12.396552,-0.768247
1649934067.815343,5477.000000,1649934067.815193,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.926424,12.395107,-0.762150
1649934067.915030,5478.000000,1649934067.914895,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.925393,12.393725,-0.758652
1649934068.015070,5479.000000,1649934068.014876,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.924442,12.393497,-0.756043
1649934068.115078,5480.000000,1649934068.114958,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.923566,12.393272,-0.757522
1649934068.215071,5481.000000,1649934068.214906,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.923853,12.391961,-0.754857
1649934068.315039,5482.000000,1649934068.314870,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.923057,12.389627,-0.751448
1649934068.414900,5483.000000,1649934068.414789,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.923420,12.386333,-0.744914
1649934068.514914,5484.000000,1649934068.514791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.922693,12.385414,-0.744264
1649934068.615196,5485.000000,1649934068.615058,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.923120,12.386742,-0.746038
1649934068.715050,5486.000000,1649934068.714828,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.923543,12.389099,-0.750135
1649934068.815068,5487.000000,1649934068.814931,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.923961,12.390240,-0.752424
1649934068.915080,5488.000000,1649934068.914909,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.924371,12.391318,-0.756202
1649934069.015505,5489.000000,1649934069.015378,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.924772,12.391242,-0.757369
1649934069.115080,5490.000000,1649934069.114924,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.925162,12.391167,-0.760064
1649934069.214960,5491.000000,1649934069.214839,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.926630,12.392184,-0.764223
1649934069.315104,5492.000000,1649934069.314897,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.926932,12.392048,-0.766554
1649934069.415355,5493.000000,1649934069.415204,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.926130,12.391914,-0.769550
1649934069.515162,5494.000000,1649934069.515010,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.926467,12.391783,-0.771567
1649934069.615099,5495.000000,1649934069.614956,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.926790,12.391655,-0.771836
1649934069.714932,5496.000000,1649934069.714800,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.927098,12.390440,-0.768818
1649934069.814993,5497.000000,1649934069.814857,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.928481,12.389291,-0.761846
1649934069.915098,5498.000000,1649934069.914968,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.929785,12.388210,-0.752705
1649934070.015237,5499.000000,1649934070.015089,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.928831,12.388285,-0.747952
1649934070.114871,5500.000000,1649934070.114755,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.927925,12.389453,-0.744192
