rosbagTimestamp,secs,nsecs,x,y
1653580211708045600,1653580211,706668615,-7.211635913856995,10.464267192050295
1653580211805636600,1653580211,805047750,-7.211068899428986,10.455837590961814
1653580211906987e3,1653580211,905911207,-7.211458588227702,10.448290406321968
1653580212005412e3,1653580212,5017042,-7.209489983842187,10.441576913095279
1653580212106020600,1653580212,105344533,-7.208577918396845,10.43782922225256
1653580212206057500,1653580212,205297708,-7.206495085763027,10.433602230828797
1653580212305954e3,1653580212,305082798,-7.2055000933889914,10.433273411687809
1653580212406573300,1653580212,405645132,-7.2066338978653635,10.437698949437372
1653580212505502500,1653580212,504906654,-7.206511944155356,10.445493911691734
165358021260785e4,1653580212,606794357,-7.20520899845089,10.457521016245051
1653580212705976e3,1653580212,705434322,-7.204979875489429,10.475675591609493
1653580212805675500,1653580212,805098772,-7.20577185626664,10.501733598490588
1653580212905345e3,1653580212,904673337,-7.2064411600165545,10.526449623413038
1653580213007099100,1653580213,6165981,-7.204816182226996,10.560718309510232
1653580213105884400,1653580213,105382919,-7.20103145901453,10.605002062494036
1653580213206214400,1653580213,205443620,-7.197401216839046,10.664074311831085
1653580213307588900,1653580213,306626796,-7.195021840056874,10.736957652386813
1653580213407324e3,1653580213,406488895,-7.192744451500492,10.822694344489557
1653580213505910300,1653580213,505270481,-7.192753030780231,10.917079042492258
1653580213607859500,1653580213,606507778,-7.194924119831772,11.022664052068503
1653580213710256400,1653580213,709095478,-7.201314883493573,11.139660911236794
1653580213807937800,1653580213,806863546,-7.211676708347439,11.271520361796032
1653580213906778e3,1653580213,906059980,-7.221401562060049,11.416023141344363
1653580214005877500,1653580214,5280971,-7.227226549300343,11.575411022952387
1653580214105849900,1653580214,105302095,-7.233713007579496,11.750686069332907
1653580214205787100,1653580214,205233573,-7.238630151548231,11.939495806797137
1.6535802143073761e+18,1653580214,306273221,-7.2420552274598124,12.145048097837064
1653580214407831600,1653580214,407132148,-7.245156832560876,12.369256992435277
1653580214507003400,1653580214,506176710,-7.2468603354441345,12.610628062358675
1653580214608301600,1653580214,606954813,-7.248334920837701,12.86881221746078
1653580214706036500,1653580214,705470561,-7.2506866550479625,13.145636328317531
1653580214806303200,1653580214,805540084,-7.25059686955765,13.442799551889108
1653580214910219e3,1653580214,909475803,-7.246025725287649,13.75424387239558
1653580215006886e3,1653580215,6161689,-7.2339677650144125,14.075320639843257
1653580215108472600,1653580215,107428550,-7.218145880716134,14.412542536550347
1653580215207637200,1653580215,206295967,-7.203179877417812,14.767689466855378
1653580215306675e3,1653580215,306000709,-7.185799454065355,15.138061702835333
1653580215408283600,1653580215,407564640,-7.17055000246127,15.527637462900609
1653580215506796e3,1653580215,506055831,-7.154086898446924,15.929251133712654
1653580215607512300,1653580215,606718301,-7.136520220131019,16.343760734882725
1653580215706088200,1653580215,705321788,-7.116864602711579,16.77197543278289
1653580215806711800,1653580215,805938482,-7.094192341982067,17.213565390929226
1653580215905724e3,1653580215,905118227,-7.071994483464051,17.66385395956793
